id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
mayflower-day-spa-2,60-Minute Massage or Couples Massage at Mayflower Day Spa (Up to 64% Off),Up to 64% Off Massage,Massage,open,groupon,extended,2038-11-27T07:59:59Z,2014-07-24T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Massage,Massage - Full Body,mayflower-day-spa,Mayflower Day Spa,http://mayflowerdayspa.com/,120,Santa Clara,3255 Kifer Rd,,CA,Santa Clara,Santa Clara,95051,US
mintrx-pharmacy-skin-clinic,3ml or 5ml Bimatoprost Kit (Generic Latisse) at MintRx Pharmacy & Skin Clinic (Up to 34% Off)   ,Up to 34% Off Sandoz Generic Latisse Kits,Sandoz Generic Latisse Kits,open,groupon,extended,2041-05-23T09:59:59Z,2017-01-17T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Eyelash Treatment - Latisse,Facial Treatments,tella-derm-md,MintRx Pharmacy & Skin Clinic,https://www.mintrxpharmacy.com,90,,,,,,,,
orthoworks-invisalign-and-orthodontic-group-2,Invisalign or Orthodontic Treatment at OrthoWorks Invisalign and Orthodontic Group (Up to 97% Off),Up to 97% Off at OrthoWorks Invisalign and Orthodontic Group,"Invisalign, Orthodontic Service",open,groupon,extended,2041-07-04T07:00:00Z,2017-03-04T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Dentistry & Dental Care,Braces - Invisible - Branded (Invisalign),ortho-works-invisalign-and-orthodontic-group,OrthoWorks Invisalign and Orthodontic Group,http://www.orthoworks.com/,120,SF Mission Terrace,4596 Mission Street,Suite 4,CA,San Francisco,The Academy,94112,US
k-k-beauty-salon-7,Facial Treatments at K&K Beauty Salon (Up to 56% Off). Two Options Available.,Up to 56% Off Facial Treatments at K&K Beauty Salon,Facial Treatments,open,groupon,featured,2017-04-14T06:59:59Z,2017-04-10T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Facial - HydraFacial,Facial Treatments,k-k-beauty-salon,K&K Beauty Salon,http://eyebrowtattoosbykellydinger.com/,120,Hacienda,108 West 25th Avenue,,CA,San Mateo,Hacienda,94403,US
health-and-beauty-physicians,$169 for 20 Units of Botox at Health and Beauty Physicians ($400 Value),58% Off Botox Injections,Botox Injections,open,groupon,extended,2040-01-14T07:59:59Z,2015-09-10T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Injection - Botox,Injections,health-and-beauty-physicians,Health and Beauty Physicians,http://www.healthandbeautyphysicians.com/,120,Sunnyvale,697 East Remington Drive,,CA,Sunnyvale,Sunnyvale,94087,US
a-list-finds-235-extractor,$8.99 for a Blackhead- and Blemish-Extractor Tool Kit from A-List Finds ($29.99 Value),70% Off a Blackhead- and Blemish-Extractor Tool Kit from A-List Finds,Blemish-Extractor Tool Kit,open,groupon,extended,2041-05-04T09:59:59Z,2016-12-29T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Makeup / Cosmetic (Retail),Health & Beauty,a-list-finds,A-List Finds,https://alistfinds.com/collections/accessories2/products/professional-5-piece-blackhead-and-blemish-extractor-tool-kit,90,,,,,,,,
jinder-s-threading-salon,Eyebrow or Face and Neck Threading Sessions at Jinder's Threading Salon (Up to 57% Off),Up to 57% Off Threading Sessions,Threading Sessions,open,groupon,extended,2040-11-30T07:59:59Z,2016-07-27T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Hair Removal & Epilation,Threading,jinder-s-threading-salon,Jinder's Threading Salon,http://www.yelp.com/biz/jinder-threading-salon-santa-clara,120,Jinder's Threading salon,2074 El Camino Real,,CA,Santa Clara,The Old Quad,95050,US
calsmile-family-dental,"Sinsational Smile Teeth Whitening,Take-Home Kit and Optional Touch-Up at CalSmile Family Dental (Up to 76% Off)",Up to 76% Off at CalSmile Dental,Sinsational Smile Teeth ,open,groupon,extended,2041-01-23T07:59:59Z,2016-09-19T07:00:00Z,san-jose,San Jose,37.3394,-121.895,"Teeth Whitening - In-Office - Branded (Zoom, Brite Smile)",Dentistry & Dental Care,cal-smile-family-dental-1,CalSmile Family Dental,http://www.calsmiledental.com,120,Country Lane,5150 Graves Avenue,Suite 11F,CA,San Jose,Country Lane,95129,US
laseraway-55,Laser Hair-Removal at LaserAway (Up to 91% Off). Three Options Available.,Up to 91% Off Laser Hair-Removal at LaserAway,Laser Hair-Removal,open,groupon,extended,2041-06-28T06:59:59Z,2017-02-22T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Laser Hair Removal,Hair Removal & Epilation,laser-away,LaserAway,http://www.laseraway.com,120,East Los Gatos,15200 Los Gatos Blvd,,CA,Los Gatos,East Los Gatos,95032,US
love-my-latisse-4-sacramento,3ml or 5ml Latisse Kit at Love My Latisse (Up to 17%  Off),Up to 17% Off Latisse Kits,Latisse Kits,open,groupon,extended,2040-11-24T07:59:59Z,2016-07-21T07:00:00Z,sacramento,Sacramento,38.5816,-121.494,Eyelash Treatment - Latisse,Facial Treatments,love-my-latisse,Love My Latisse,http://lovemylatisse.com/,90,,,,,,,,
