id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
cathie-bautista-luxe-beauty-bar,"One, Two, or Three Brazilian Waxes from Cathie Bautista at Luxe Beauty Bar (Up to 61% Off)",Up to 61% Off Brazilian Waxes,Brazilian Waxes,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Waxing - Brazilian / Bikini,Hair Removal & Epilation,cathie-bautista-luxe-beauty-bar,Cathie Bautista at Luxe Beauty Bar,https://www.facebook.com/Luxebeautybarpleasanton/,180,Downtown Pleasanton,4713 First Street,Suite 240,CA,Pleasanton,Downtown Pleasanton,94566,US
new-look-institute-3,12 or 16 Laser Hair Restoration Sessions at New Look Institute (Up to 92% Off),Up to 92% Off Laser Hair Restoration Sessions,Laser Hair Restoration Sessions,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Hair Restoration - Laser,Cosmetic Surgery,new-look-institute,New Look Institute,http://www.newlookinstitute.com,90,San Jose,1190 S. Bascom Ave.,Ste. 239,CA,San Jose,Del Mar,95128,US
lee-s-total-body-care-3,One Full Set of Eyelash Extensions with an Optional Two-Week Fill at Lee's Total Body Care (Up to 54% Off),Up to 54% Off Eyelash Extensions and Fill,Eyelash Extensions and Fill,open,groupon,extended,2040-09-05T06:59:59Z,2016-05-02T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Eyebrow Extensions,Facial Treatments,lee-s-total-body-care,Lee's Total Body Care,https://www.facebook.com/Lees-total-body-care-1625345194361202/timeline?ref=page_internal,90,Lee's Total Body Care,142 South L Street,,CA,Livermore,Downtown Livermore,94550,US
love-my-latisse-4-sacramento,3ml or 5ml Latisse Kit at Love My Latisse (Up to 17%  Off),Up to 17% Off Latisse Kits,Latisse Kits,open,groupon,extended,2040-11-24T07:59:59Z,2016-07-21T07:00:00Z,sacramento,Sacramento,38.5816,-121.494,Eyelash Treatment - Latisse,Facial Treatments,love-my-latisse,Love My Latisse,http://lovemylatisse.com/,90,,,,,,,,
ibeauty-tan-salon-6,One Gel or Basic Manicure at iBeauty & Tan Salon (Up to 33% Off),Up to 33% Off Manicure at iBeauty & Tan Salon ,Gel or Basic Manicure,open,groupon,extended,2041-08-11T06:59:59Z,2017-04-07T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Manicure - Shellac / No-Chip / Gel,Nail Services,i-beauty-tan-salon,iBeauty & Tan Salon,http://www.ibeautytansalon.com,120,Downtown Pleasanton,4625 First Street,Suite 150,CA,Pleasanton,Downtown Pleasanton,94566,US
stript-wax-bar-1-10,One or Two Airbrush Spray Tan Sessions at Stript Wax Bar (Up to 54% Off),Up to 54% Off Airbrush Spray Tan at Stript Wax Bar,Airbrush Spray Tan,open,groupon,featured,2017-04-14T06:59:59Z,2017-04-10T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Tanning,Tanning - Airbrush Spray (Manual),stript-wax-bar-1,Stript Wax Bar,http://www.striptwaxbar.com,90,Dolores Heights,1211 Church Street,,CA,San Francisco,Dolores Heights,94114,US
g2j-clinic,"$179 for 20 Units of Botox at G2J Clinic, Laser & Coolsculpting ($260 Value",31% Off Botox Injections ,Botox Injections,open,groupon,featured,2017-04-13T06:59:59Z,2017-04-09T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Injection - Botox,Injections,g-2-j-clinic,"G2J Clinic, Laser & Coolsculpting",http://miranparkmd.com/,120,Country Lane,5150 Graves Ave,Ste 11B,CA,San Jose,Country Lane,95129,US
smilelabs-of-pleasanton,Up to 51% Off Laser Teeth Whitening Sessions at SmileLabs of Pleasanton,Up to 51% Off Whitening Sessions,Whitening Sessions,open,groupon,extended,2040-03-25T06:59:59Z,2015-11-20T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,"Teeth Whitening - In-Office - Branded (Zoom, Brite Smile)",Dentistry & Dental Care,smile-labs-of-pleasanton,SmileLabs of Pleasanton,http://smilelabsofpleasanton.com/,120,SmileLabs of Pleasanton,818 Main St,,CA,Pleasanton,Downtown Pleasanton,94566,US
ibeauty-tan-salon-4,Eyebrow Threading or Full Face Threading or Wax at iBeauty & Tan Salon (Up to 50% Off),Up to 50% Off Threading or Waxing at iBeauty & Tan Salon,Threading or Waxing,open,groupon,extended,2041-04-20T07:00:00Z,2016-12-19T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Eyebrow - Threading - Tinting,Facial Treatments,i-beauty-tan-salon,iBeauty & Tan Salon,http://www.ibeautytansalon.com,120,Downtown Pleasanton,4625 First Street,Suite 150,CA,Pleasanton,Downtown Pleasanton,94566,US
ibeauty-tan-salon,Airbrush or UV Tanning at iBeauty & Tan Salon (Up to 59% Off). Four Options Available.,Up to 59% Off Airbrush or UV Tanning,Airbrush or UV Tanning,open,groupon,extended,2041-02-03T07:59:59Z,2016-09-30T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Tanning - Bed / Booth,Tanning,i-beauty-tan-salon,iBeauty & Tan Salon,http://www.ibeautytansalon.com,180,Downtown Pleasanton,4625 First Street,,CA,Pleasanton,Downtown Pleasanton,94566,US
