id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
cathie-bautista-luxe-beauty-bar,"One, Two, or Three Brazilian Waxes from Cathie Bautista at Luxe Beauty Bar (Up to 61% Off)",Up to 61% Off Brazilian Waxes,Brazilian Waxes,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Waxing - Brazilian / Bikini,Hair Removal & Epilation,cathie-bautista-luxe-beauty-bar,Cathie Bautista at Luxe Beauty Bar,https://www.facebook.com/Luxebeautybarpleasanton/,180,Downtown Pleasanton,4713 First Street,Suite 240,CA,Pleasanton,Downtown Pleasanton,94566,US
love-my-latisse-4-sacramento,3ml or 5ml Latisse Kit at Love My Latisse (Up to 17%  Off),Up to 17% Off Latisse Kits,Latisse Kits,open,groupon,extended,2040-11-24T07:59:59Z,2016-07-21T07:00:00Z,sacramento,Sacramento,38.5816,-121.494,Eyelash Treatment - Latisse,Facial Treatments,love-my-latisse,Love My Latisse,http://lovemylatisse.com/,90,,,,,,,,
schroeder-s,$8 for a Haircut at Schroeder's ($16 Value),$8 for a Haircut at Schroeder's,Haircut,open,groupon,extended,2038-02-09T08:00:00Z,2013-10-10T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Hair Cuts & Styling,Salon - Haircut,schroeders,Schroeder's,http://NO website,90,San Jose,5343 Prospect Road,,CA,San Jose,San Jose,95129,US
calsmile-family-dental,"Sinsational Smile Teeth Whitening,Take-Home Kit and Optional Touch-Up at CalSmile Family Dental (Up to 76% Off)",Up to 76% Off at CalSmile Dental,Sinsational Smile Teeth ,open,groupon,extended,2041-01-23T07:59:59Z,2016-09-19T07:00:00Z,san-jose,San Jose,37.3394,-121.895,"Teeth Whitening - In-Office - Branded (Zoom, Brite Smile)",Dentistry & Dental Care,cal-smile-family-dental-1,CalSmile Family Dental,http://www.calsmiledental.com,120,Country Lane,5150 Graves Avenue,Suite 11F,CA,San Jose,Country Lane,95129,US
new-look-institute-3,12 or 16 Laser Hair Restoration Sessions at New Look Institute (Up to 92% Off),Up to 92% Off Laser Hair Restoration Sessions,Laser Hair Restoration Sessions,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Hair Restoration - Laser,Cosmetic Surgery,new-look-institute,New Look Institute,http://www.newlookinstitute.com,90,San Jose,1190 S. Bascom Ave.,Ste. 239,CA,San Jose,Del Mar,95128,US
a-list-finds-235-extractor,$8.99 for a Blackhead- and Blemish-Extractor Tool Kit from A-List Finds ($29.99 Value),70% Off a Blackhead- and Blemish-Extractor Tool Kit from A-List Finds,Blemish-Extractor Tool Kit,open,groupon,extended,2041-05-04T09:59:59Z,2016-12-29T05:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Makeup / Cosmetic (Retail),Health & Beauty,a-list-finds,A-List Finds,https://alistfinds.com/collections/accessories2/products/professional-5-piece-blackhead-and-blemish-extractor-tool-kit,90,,,,,,,,
peninsula-beauty-5,$18 for $30 Worth of Beauty Products at Peninsula Beauty ,40% Off Beauty Products at Peninsula Beauty ,Beauty Products,open,groupon,extended,2039-07-24T06:59:59Z,2015-03-20T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Makeup / Cosmetic (Retail),Health & Beauty,peninsula-beauty-san-francisco-2,Peninsula Beauty,http://www.peninsulabeauty.com,90,Downtown,36 East 4th Avenue,,CA,San Mateo,Downtown,94401,US
ibeauty-tan-salon-6,One Gel or Basic Manicure at iBeauty & Tan Salon (Up to 33% Off),Up to 33% Off Manicure at iBeauty & Tan Salon ,Gel or Basic Manicure,open,groupon,extended,2041-08-11T06:59:59Z,2017-04-07T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Manicure - Shellac / No-Chip / Gel,Nail Services,i-beauty-tan-salon,iBeauty & Tan Salon,http://www.ibeautytansalon.com,120,Downtown Pleasanton,4625 First Street,Suite 150,CA,Pleasanton,Downtown Pleasanton,94566,US
light-health-center-2,One 75- or 90-Minute Bodyworks Massage with Heat and Essential Oils at Light Health Center (Up to 66% Off) ,Up to 66% Off Massage Package,Massage Package,open,groupon,extended,2039-12-14T07:59:59Z,2015-08-10T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Massage,Massage - Deep Tissue,light-health-center,Light Health Center,http://lighthealthcenter.com/,90,Light Health Center,2571 N 1st St,,CA,San Jose,North San Jose,95131,US
g2j-clinic,"$179 for 20 Units of Botox at G2J Clinic, Laser & Coolsculpting ($260 Value",31% Off Botox Injections ,Botox Injections,open,groupon,featured,2017-04-13T06:59:59Z,2017-04-09T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Injection - Botox,Injections,g-2-j-clinic,"G2J Clinic, Laser & Coolsculpting",http://miranparkmd.com/,120,Country Lane,5150 Graves Ave,Ste 11B,CA,San Jose,Country Lane,95129,US
