id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
comebuy,Bubble Tea / Boba / Coffee / Drinks / Waffle at COMEBUY (Up to 40% Off) ,Up to 40% Off Bubble Teas/ Coffee/ Drinks at COMEBUY,Bubble Teas/Coffee at COMEBUY,open,groupon,extended,2041-05-27T06:59:59Z,2017-01-21T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Caf̩e / Bar Offerings,Bubble Tea,comebuy-1,COMEBUY,https://www.facebook.com/comebuyca,120,COMEBUY- Santa Clara,2712 Augustine Drive,Ste 110,CA,Santa Clara,East Murphy,95054,US
gg-chambray-embroidered-comforter-set-7-piece-8,Chambray Embroidered Comforter Set (7-Piece),Chambray Embroidered Comforter Set (7-Piece),Embroidered Comforter Set (7pc.),open,groupon,featured,2017-05-18T06:59:59Z,2017-04-13T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Textiles,Linens,kennedy-reversible-comforter-sets-from-victoria-classics,Chambray Embroidered Comforter Set (7-Piece),,,,,,,,,,
palo-alto-pizza-co,20% Cash Back at Palo Alto Pizza Co.,20% Cash Back at Palo Alto Pizza Co.,20% Cash Back on Your Bill,open,groupon,extended,2017-05-05T19:33:00Z,2017-04-10T19:33:00Z,san-jose,San Jose,37.3394,-121.895,Pizza Place,Traditional American Cuisine,palo-alto-pizza,Palo Alto Pizza Co.,http://paloalto-pizza.com/#,30,"Old Palo Alto,Mayfield",2450 Park Blvd,,CA,Palo Alto,"Old Palo Alto,Mayfield",94306,US
sunnyvale-discount-smog,$29 for One Smog Check for One Vehicle at Sunnyvale Discount Smog ($60 Value) ,52% off a Smog Check at Sunnyvale Discount Smog,Smog Check,open,groupon,extended,2041-06-02T06:59:59Z,2017-01-27T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Car & Automotive,Inspection Sticker / Emissions Testing - Car,sunnyvale-discount-smog,Sunnyvale Discount Smog,http://www.sunnyvalediscountsmog.com,120,Washington,848 W Evelyn Ave,Ste D,CA,Sunnyvale,Washington,94086,US
fairyland-4,Two Weekday Admissions to Fairyland (Up to 40% Off),Up to 40% Off Two Weekday Admissions to Fairyland,Weekday Admission to Fairyland,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Playground / Children's Park,Parks,fairyland,Fairyland,http://www.fairyland.org/,,Central Oakland,699 Bellevue Ave,,CA,Oakland,Central Oakland,94610,US
ga-calistoga-wine-way-inn-9,"1-, 2-, or 3-Night Stay for Two with Wine Tastings at Calistoga Wine Way Inn in Napa Valley, CA",Charming Room with Gourmet Breakfast And Wine Tasting In Napa Valley,Napa Valley B&B,open,groupon,featured,2017-05-11T06:59:59Z,2017-04-13T07:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Accommodation type,Hotel - Romantic - Outdoor,calistoga-wine-way-inn,Calistoga Wine Way Inn,https://www.lodginginnapavalley.com/calistoga-lodging.html,,"Calistoga, CA",1019 Foothill Blvd,,CA,Calistoga,Riebli-Wallace Neighborhood Group,94515,US
gl-2017-reebok-spartan-race-at-t-park-sprint,Entry to the AT&T Park Sprint on November 18 from 2017 Reebok Spartan Races,Up to 23% Off 2017 Reebok Spartan Races,2017 Reebok Spartan Races,open,groupon,extended,2017-11-17T07:59:59Z,2017-02-09T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Races & Runs,Race - Mud Run (Activity / Experience),reebok-spartan-races-so-cal,Reebok Spartan Races,https://www.spartan.com/en/race/detail/2608/overview,,AT&T Park,24 Willie Mays Plaza,,CA,San Francisco,South Beach,94107,US
n-shutterfly-custom-hard-cover-photo-books-2,Custom Photo Books from Shutterfly (Up to 67% Off),Up to 67% Off Photo Book from Shutterfly,Custom Hard Cover Photo Books,open,groupon,featured,2017-04-15T09:59:59Z,2017-04-11T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Customizable Photobooks,Customizables,shutterfly,Shutterfly,http://www.shutterfly.com/,,,,,,,,,
rugged-maniac-5k-obstacle-race-42,"$59 for $100 for Afternoon Entry for One Person to The Rugged Maniac 5k Obstacle Race on May 27, 2017",41% Off Entry to Rugged Maniac 5K Obstacle Race,5K Obstacle Race,open,groupon,featured,2017-04-17T06:59:59Z,2017-04-13T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Races & Runs,Race - Mud Run (Activity / Experience),rugged-races,Rugged Maniac 5K Obstacle Race,https://ruggedmaniac.com/events/norcal/,,Downtown Pleasanton,4501 Pleasanton Avenue,,CA,Pleasanton,Downtown Pleasanton,94566,US
fit-for-life-solutions-4,Three or Six Weeks of Boot-Camp Classes for One Or Two at Fit For Life Solutions (Up to 93% Off),Up to 93% Off Boot-Camp Classes,Boot-Camp Classes,open,groupon,extended,2039-08-20T06:59:59Z,2015-04-16T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Workout & Fitness,Boot Camp,fit-for-life-solutions,Fit For Life Solutions,http://www.FitForLifeSolutions.com,360,Fit For Life: Redwood City,3151 Edison Way,Fit For Life Transformation Camp (In Sportshouse),CA,Redwood City,North Fair Oaks,94063,US
gg-300tc-100-cotton-sateen-wexley-home-sheet-set-1, Wexley Home 300TC 100% Cotton Sheet Sets  ,Wexley Home 300TC 100% Cotton Sheet Sets,300TC 100% Cotton Sheet Set,open,groupon,featured,2088-08-09T07:59:59Z,2017-04-13T02:30:00Z,san-angelo,San Angelo,31.4406,-100.452,Linens,Home & Garden - Sheets - Cotton,elite-home-products,Wexley Home 300TC 100% Cotton Sheet Sets,,,,,,,,,,
