id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
goldstar-clift-hotel-san-francisco-3,"Cinco De Mayo Tequila and Mezcal Tasting - Friday May 5, 2017 / 7:00pm - 9:00pm","Cinco De Mayo Tequila and Mezcal Tasting - Friday May 5, 2017 / 7:0...",Clift Hotel San Francisco,open,groupon,featured,2017-05-06T02:00:00Z,2017-04-11T20:50:08Z,san-francisco,San Francisco,37.7752,-122.419,Restaurant Specialty - Hard Alcohol Tasting / Flight,Tastings,goldstar,Clift Hotel San Francisco,https://www.morganshotelgroup.com/originals/originals-clift-san-francisco,,Downtown San Francisco-Union Square,495 Geary Street,,CA,San Francisco,Downtown San Francisco-Union Square,94102,US
palo-alto-pizza-co,20% Cash Back at Palo Alto Pizza Co.,20% Cash Back at Palo Alto Pizza Co.,20% Cash Back on Your Bill,open,groupon,extended,2017-05-05T19:33:00Z,2017-04-10T19:33:00Z,san-jose,San Jose,37.3394,-121.895,Pizza Place,Traditional American Cuisine,palo-alto-pizza,Palo Alto Pizza Co.,http://paloalto-pizza.com/#,30,"Old Palo Alto,Mayfield",2450 Park Blvd,,CA,Palo Alto,"Old Palo Alto,Mayfield",94306,US
personalized-mms-322-national,"Personalized M&M'S for Easter, Graduation and Mother’s Day Gifts (Up to 50% Off)",Up to 50% Off Personalized M&M'S ,Personalized M&M'S,open,groupon,featured,2017-04-16T09:59:59Z,2017-04-12T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Candy / Confection / Chocolate (Retail),Groceries,my-m-ms-com,MyMMS.com,https://www.mymms.com/home.do?utm_medium=afl&utm_source=gro&utm_content=easter%7Cgrad&utm_campaign=acq%7Cafl,,,,,,,,,
blue-water-seafood-crab-2-4,Sea Food at Blue Water Seafood & Crab (Up to 41% Off),Up to 41% Off Sea Food at Blue Water Seafood & Crab,Sea Food ,open,groupon,extended,2041-05-15T06:59:59Z,2017-01-09T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Seafood,Seafood Restaurant,blue-water-seafood-and-crab,Blue Water Seafood & Crab,http://bluewaterseafoodandcrab.com/,120,Willow Glen,860 Willow St.,Suite 100,CA,San Jose,Willow Glen,95125,US
la-fondue-8,Sampling of the Entire Fondue Menu and Wine for Two or Four at La Fondue (Up to 65% Off) ,Up to 65% Off Menu Tasting and Wine at La Fondue ,La Fondue Menu Tasting,open,groupon,extended,2041-04-19T06:59:59Z,2016-12-14T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Fondue Restaurant,European Cuisine,la-fondue-new-owner,La Fondue,http://www.lafondue.com/,120,La Fondue,14550 Big Basin Way,,CA,Saratoga,Madronia Historic,95070,US
spencer-s-steakhouse,Steakhouse Fare at Spencer's Steakhouse (Up to 40% Off). Three Options Available.,Up to 40% Off at Spencer's Steakhouse,Steakhouse Fare,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Steakhouse,,spencer-s-steakhouse,Spencer's Steakhouse,http://www.spencersforsteaksandchops.com/sanjose/,120,North San Jose,2050 Gateway Place,,CA,San Jose,North San Jose,95110,US
pura-vida-cocina-latina-and-sangria-bar-5,$55 for a Meal for Two at Pura Vida Cocina Latina & Sangria Bar (Up to $86.80 Value),37% Off Meal for Two at Pura Vida Cocina Latina & Sangria Bar,Meal for Two ,open,groupon,extended,2041-04-22T06:59:59Z,2016-12-17T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Caribbean & Latin American Cuisine,Latin American Cuisine,pura-vida-cocina-latina-and-sangria-bar,Pura Vida Cocina Latina & Sangria Bar,http://puravidalivermore.com,120,Downtown Livermore,2241 1st Street,,CA,Livermore,Downtown Livermore,94550,US
goldstar-chalet-basque,"Sunday Afternoon Delight Marin Singles Party - Sunday May 7, 2017 / 4:00pm","Sunday Afternoon Delight Marin Singles Party - Sunday May 7, 2017 /...",Chalet Basque,open,groupon,featured,2017-05-07T23:00:00Z,2017-04-12T00:07:43Z,san-francisco,San Francisco,37.7752,-122.419,Tasting - Other,Tastings,goldstar,Chalet Basque ,http://www.chaletbasque.com/,,Smith Ranch,405 North San Pedro Road,,CA,San Rafael,Smith Ranch,94903,US
krispy-kreme-doughnuts-san-francisco-10,Original Glazed Doughnuts and Drinks at Krispy Kreme - Bay Area (Up to 51% Off). Three Options Available.,Up to 51% Off at Krispy Kreme - Six Bay Area Locations,Krispy Kreme Doughnuts,open,groupon,extended,2041-04-04T06:59:59Z,2016-11-29T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Donut / Doughnut (Bakery & Dessert Parlor),Bakery & Desserts,golden-gate-doughnuts,Krispy Kreme,https://www.facebook.com/KKSanFranciscoBay/,180,Mountain View,2146 Leghorn St,,CA,Mountain View,Monta Loma-Farley-Rock,94043,US
the-melting-pot-san-mateo-1,"Three-Course Fondue Dinner for Two, Four, Six, or Eight at The Melting Pot (Up to 38% Off)",Up to 38% Off Three-Course Fondue Dinner at The Melting Pot,Fondue Dinner at The Melting Pot,open,groupon,extended,2037-06-28T06:59:59Z,2013-02-19T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Fondue Restaurant,European Cuisine,the-melting-pot-san-mateo,The Melting Pot,http://www.meltingpot.com/,120,San Mateo,2 N B St.,,CA,San Mateo,North Central,94401,US
