id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
west-coast-golf-valuebook,"One, Two, or Five ValueBooks with 400+ Discounts & Golf Digest Subscription from West Coast GOLF (Up to 46% Off)",Up to 46% Off ValueBook and Golf Digest from West Coast GOLF,West Coast Golf ValueBook,open,groupon,extended,2041-08-09T06:59:59Z,2017-04-05T07:00:00Z,fresno,Fresno,36.7477,-119.772,Sports & Related,Golf - Recreational,west-coast-golf-value-book,West Coast GOLF ValueBook,http://www.2for1golf.com,120,,,,,,,,
fit-for-life-solutions-4,Three or Six Weeks of Boot-Camp Classes for One Or Two at Fit For Life Solutions (Up to 93% Off),Up to 93% Off Boot-Camp Classes,Boot-Camp Classes,open,groupon,extended,2039-08-20T06:59:59Z,2015-04-16T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Workout & Fitness,Boot Camp,fit-for-life-solutions,Fit For Life Solutions,http://www.FitForLifeSolutions.com,360,Fit For Life: Redwood City,3151 Edison Way,Fit For Life Transformation Camp (In Sportshouse),CA,Redwood City,North Fair Oaks,94063,US
gl-2017-reebok-spartan-race-at-t-park-sprint,Entry to the AT&T Park Sprint on November 18 from 2017 Reebok Spartan Races,Up to 23% Off 2017 Reebok Spartan Races,2017 Reebok Spartan Races,open,groupon,extended,2017-11-17T07:59:59Z,2017-02-09T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Races & Runs,Race - Mud Run (Activity / Experience),reebok-spartan-races-so-cal,Reebok Spartan Races,https://www.spartan.com/en/race/detail/2608/overview,,AT&T Park,24 Willie Mays Plaza,,CA,San Francisco,South Beach,94107,US
total-woman-gym-spa-6,"One Month Membership with Unlimited Fitness Classes, Steam, & Sauna at Total Woman Gym + Spa (Up to 81% Off) ",Up to 81% Off at Total Woman Gym + Spa,Gym Membership ,open,groupon,extended,2039-09-16T06:59:59Z,2015-05-13T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Workout & Fitness,Fitness Studio,total-woman-gym-spa,Total Woman Gym + Spa,http://www.totalwomanspa.com,90,Total Woman Gym + Spa- Sunnyvale,727 Sunnyvale Saratoga Rd.,,CA,Sunnyvale,Sunnyvale,94087,US
u-s-vision-129-san-francisco,Prescription Eyeglasses or Sunglasses at JCPenney Optical (83% Off),83% Off Prescription Eyeglasses or Prescription Sunglasses,JCPenney Optical,open,groupon,extended,2017-04-16T06:59:59Z,2017-02-23T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Prescription Glasses (Retail),Health & Beauty,u-s-vision,JCPenney Optical,http://www.jcpenneyoptical.com/,,Hill Top Mall,1000 Hilltop Mall Rd.,,CA,San Pablo,,94806,US
raw-green-organics-455,Two- or Four-Week RawJuvenate Complete Organic Detox System from Raw Green Organics (Up to 57% Off) ,Up to 57% Off Organic Detox System from Raw Green Organics,Organic Detox System,open,groupon,featured,2017-04-14T06:59:59Z,2017-04-10T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Juice Cleanse / Detox Diet (Retail),Health & Beauty,raw-green-organics,Raw Green Organics,http://www.rawgreenorganics.com,90,,,,,,,,
poppy-hills-golf-course-1-5,"Rounds of Golf in Pebble Beach, CA at Poppy Hills Golf Course (Up to 56% Off) ",Up to 56% Off at Poppy Hills Golf Course,"Golf in Pebble Beach, CA",open,groupon,extended,2017-06-01T06:59:59Z,2017-02-22T08:00:00Z,fresno,Fresno,36.7477,-119.772,Sports & Related,Golf - Recreational,poppy-hills-golf-course,Poppy Hills Golf Course,http://www.poppyhillsgolf.com/,,Pebble Beach,3200 Lopez Rd.,,CA,Pebble Beach,Skyline Forest,93953,US
nutrition-cube-353,$5 for an Online Nutrition Course from Nutrition Cube ($99.95 Value),95% Off an Online Nutrition Course,Online Nutrition Course,open,groupon,extended,2040-09-25T04:00:00Z,2016-05-26T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Consulting Services,Online Nutritional / Weight-Loss,nutrition-cube-1,Nutrition Cube,http://www.nutritioncube.com/,90,,,,,,,,
superfly-running-inc-149,"Entry for One or Two to The Sugar Rush on May 13, 2017 (Up to 50% Off) ",Up to 50% Off Entry to The Sugar Rush,The Sugar Rush 5K,open,groupon,extended,2017-05-13T06:59:59Z,2017-01-28T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Races & Runs,Marathon - Registration / Participation,superfly-running-inc,The Sugar Rush,http://thesugarrush5k.com/,,San Jose,6099 Winfield Boulevard,,CA,San Jose,Blossom Valley,95120,US
new-susan-s-dance-studio,One Month of Unlimited Dance-Workout and Zumba Fitness Classes at New Susan's Dance Studio (93% Off),93% Off One-Month Dance-Fitness Trial,One-Month Dance-Fitness Trial,open,groupon,extended,2038-08-03T07:00:00Z,2014-04-03T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Workout & Fitness,Zumba Class,new-susan-s-dance-studio,New Susan's Dance Studio,http://newsusansdancestudio.net/,120,Alum Rock,422 N Capitol Ave.,,CA,San Jose,Alum Rock,95133,US
