id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
jus-by-julie-833,"One-, Three-, or Five-Day Juice Cleanse from Jus by Julie (Up to 54% Off) ",Up to 54% Off a Juice Cleanse from Jus by Julie ,Juice Cleanse,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Juice Cleanse / Detox Diet (Retail),Health & Beauty,jus-by-julie,Jus by Julie,http://www.jusbyjulie.com/,120,,,,,,,,
bikram-yoga-san-jose-8,10 or 20 Bikram Yoga Classes at Bikram Yoga San Jose (Up to 76% Off) ,Up to 76% Off at Bikram Yoga San Jose,Bikram Yoga Classes,open,groupon,extended,2039-03-12T07:59:59Z,2014-11-06T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Workout & Fitness,Yoga - Bikram,bikram-yoga-san-jose,Bikram Yoga San Jose,http://www.bikramyogasanjose.com,120,Bikram Yoga San Jose,5289E Prospect Rd.,,CA,San Jose,San Jose,95129,US
u-s-vision-129-san-francisco,Prescription Eyeglasses or Sunglasses at JCPenney Optical (81% Off),81% Off Prescription Eyeglasses or Prescription Sunglasses,JCPenney Optical,open,groupon,extended,2017-04-16T06:59:59Z,2017-02-23T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Prescription Glasses (Retail),Health & Beauty,u-s-vision,JCPenney Optical,http://www.jcpenneyoptical.com/,,Hill Top Mall,1000 Hilltop Mall Rd.,,CA,San Pablo,,94806,US
new-look-institute-3,12 or 16 Laser Hair Restoration Sessions at New Look Institute (Up to 92% Off),Up to 92% Off Laser Hair Restoration Sessions,Laser Hair Restoration Sessions,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Hair Restoration - Laser,Cosmetic Surgery,new-look-institute,New Look Institute,http://www.newlookinstitute.com,90,San Jose,1190 S. Bascom Ave.,Ste. 239,CA,San Jose,Del Mar,95128,US
laseraway-54,"Three Laser Tattoo-Removal Treatments on a Small, Medium, or Large Area at LaserAway (Up to 83% Off)",Up to 83% Off Tattoo Removal at LaserAway,Tattoo Removal at LaserAway,open,groupon,extended,2041-06-28T06:59:59Z,2017-02-22T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Cosmetic Surgery,Tattoo Removal,laser-away,LaserAway,http://www.laseraway.com,180,East Los Gatos,15200 Los Gatos Blvd,,CA,Los Gatos,East Los Gatos,95032,US
nutrition-cube-353,$5 for an Online Nutrition Course from Nutrition Cube ($99.95 Value),95% Off an Online Nutrition Course,Online Nutrition Course,open,groupon,extended,2040-09-25T04:00:00Z,2016-05-26T04:00:00Z,abilene,"Abilene, TX",32.4487,-99.7331,Consulting Services,Online Nutritional / Weight-Loss,nutrition-cube-1,Nutrition Cube,http://www.nutritioncube.com/,90,,,,,,,,
new-susan-s-dance-studio,One Month of Unlimited Dance-Workout and Zumba Fitness Classes at New Susan's Dance Studio (91% Off),91% Off One-Month Dance-Fitness Trial,One-Month Dance-Fitness Trial,open,groupon,extended,2038-08-03T07:00:00Z,2014-04-03T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Workout & Fitness,Zumba Class,new-susan-s-dance-studio,New Susan's Dance Studio,http://newsusansdancestudio.net/,120,Alum Rock,422 N Capitol Ave.,,CA,San Jose,Alum Rock,95133,US
dexafit-san-carlos,360 Degree Body Scans at DexaFit - Multiple Locations (Up to 45% Off),Up to 45% Off 360 Degree Body Scans at DexaFit-Multi Locations ,360 Degree Body Scans ,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,General Medicine,Body Scanning,dexa-fit-san-carlos,DexaFit,https://www.dexafit.com/locations/california/san-francisco,120,Clearfield Park,1091 Industrial Road,,CA,San Carlos,Clearfield Park,94070,US
smiledirectclub-319-san-jose,At-home impression kit for invisible aligners + $100 off aligners (Up to 90% Off)  ,Invisible-Aligner Package from SmileDirectClub   ,Invisible-Aligner Package,open,groupon,extended,2040-09-12T06:59:59Z,2016-05-09T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Oral Care Supplies (Retail),Health & Beauty,smile-care-club,SmileDirectClub,https://smiledirectclub.com/promo/?utm_campaign=groupon-kit-sdc&utm_medium=web,90,,,,,,,,
victor-d-woodlief-dmd,"$29 for a Dental Exam, X-rays, and Cleaning at Victor D. Woodlief, DMD ($338 Value)",91% Off Dental Checkup,Dental Checkup,open,groupon,extended,2037-11-03T06:59:59Z,2013-06-29T07:00:00Z,san-jose,San Jose,37.3394,-121.895,"Dental Checkup (Cleaning, X-Ray, Exam)",Dentistry & Dental Care,victor-d-woodlief-dmd,"Victor D. Woodlief, DMD",http://www.doctmj.com,120,San Jose,750 N Capitol Ave.,Suite A2,CA,San Jose,,95133,US
