id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
gl-california-s-great-america,$34.50 for Admission for One to California's Great America ($69 Value) ,50% Off at California's Great America,Theme-Park Admission,open,groupon,extended,2017-04-30T06:59:59Z,2017-03-17T07:00:00Z,fresno,Fresno,36.7477,-119.772,Amusement Park,Parks,california-s-great-america,California's Great America,https://www.cagreatamerica.com/,,California's Great America,4701 Great America Pkwy,,CA,Santa Clara,Lakewood,95054,US
castle-escape-room,Escape-Room Entry for Two or Four at Castle Escape Room (Up to 40% Off),Up to 40% Off at Castle Escape Room,Escape-Room Entry,open,groupon,extended,2040-07-26T06:59:59Z,2016-03-22T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Gaming,Room Escape Game,castle-escape-room,Castle Escape Room,http://castleescaperoom.com/,180,Castle Escape Room,1967 O'Toole Way,,CA,San Jose,North San Jose,95131,US
smart-destinations-4,Go San Diego Card All-Inclusive 2-Day Pass includes admission to 40+ attractions for 2 days. Pay Nothing at The Gate.,All-Inclusive Pass to San Diego Attractions ,Go San Diego Card,open,groupon,extended,2039-03-23T06:59:59Z,2014-11-17T08:00:00Z,inland-empire,Inland Empire,34.1083,-117.29,Tour - Bus,Tour,smart-destinations,Go City Card,http://smartdestinations.com,30,,,,,,,,
bottle-bottega-sw-san-jose,Two-and-a-Half Hour Painting Party for One or Two from Bottle & Bottega San Jose (Up to 39% Off) ,Up to 39% Off Painting Parties,Painting Party,open,groupon,extended,2039-02-26T07:59:59Z,2014-10-23T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Party,Painting Party,bottle-and-bottega,Bottle & Bottega - SW San Jose,http://bottleandbottega.com/sw-sanjose/,120,Bottle & Bottega - SW San Jose,2125 South Winchester Boulevard,Ste 110,CA,Campbell,Campbell,95008,US
action-whitewater-adventures-19,Half- or Full-Day Rafting Trip with Hot Barbecue Lunch from Action Whitewater Adventures (Up to 50% Off) ,Up to 50% Off Half- or Full-Day Rafting Trip,Rafting Trip Down American River,open,groupon,extended,2017-09-18T06:59:59Z,2016-11-11T08:00:00Z,fresno,Fresno,36.7477,-119.772,Watersports,White Water Rafting (Ride / Activity),action-whitewater-adventures,Action Whitewater Adventures,http://www.actionwhitewater.com/,,Lotus,7149 Hwy 49,,CA,Lotus,Tamaroo Ridge,95651,US
sky-high-sports-santa-clara-7,Two Hours of Jump Time Monday–Thursday at Sky High Sports (Up to 48% Off) ,Up to 48% Off Trampolining ,Trampolining ,open,groupon,extended,2040-10-29T06:59:59Z,2016-06-25T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Trampoline Park,Jumping,sky-high-sports-rancho-cordova,Sky High Sports,http://sjc.jumpskyhigh.com/,90,Sky High Sports Santa Clara,2880 Mead Ave,,CA,Santa Clara,East Murphy,95051,US
goldstar-bal-theatre-35,"""420 Comedy Jam"" - Thursday April 20, 2017 / 7:30pm","""420 Comedy Jam"" - Thursday April 20, 2017 / 7:30pm",Bal Theatre,open,groupon,featured,2017-04-21T02:30:00Z,2017-04-10T16:12:23Z,san-francisco,San Francisco,37.7752,-122.419,Comedy,Stand-up Show,goldstar,Bal Theatre,http://www.baltheatre.com/,,Halcyon-Foothill,14808 East 14th Street,,CA,San Leandro,Halcyon-Foothill,94578,US
dive-high-hanggliding-2,Hang-Gliding Lesson and Flight for One or Two at Dive High (Up to 56% Off),Up to Half Off Hang-Gliding at Dive High,Hang-Gliding for One or Two,open,groupon,extended,2039-03-08T07:59:59Z,2014-11-02T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Paragliding / Hang Gliding (Ride / Experience),Flying,dive-high-hang-gliding,Dive High Hanggliding,http://divehighhanggliding.com/,90,Tracy,25001 Kasson Rd.,,CA,Tracy,Tracy,95304,US
musiclandktv-1,$50 for Two-Hour Karaoke Party Room with Drink Credit at musiclandktv ($110 Value),55% Off Two-Hour Karaoke Party Room at musiclandktv,Two-Hour Karaoke Party Room,open,groupon,extended,2041-02-23T07:59:59Z,2016-10-20T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Caf̩e / Bar Offerings,Karaoke Bar,musiclandktv,musiclandktv,http://www.musiclandktv.com,120,Midtown,788 Barber Lane,,CA,Milpitas,Midtown,95035,US
crawfish-and-catfish-festival,Two or Four Tickets to the Crawfish & Catfish Festival on September 9 or 10 (Up to 52% Off),52% Off Two or Four Tickets to Crawfish & Catfish Festival,Crawfish & Catfish Festival,open,groupon,extended,2017-09-07T06:59:59Z,2017-04-06T07:00:00Z,modesto,Modesto,37.6391,-120.997,Fairs & Festivals,Festival - Food,crawfish-catfish-festival,Crawfish & Catfish Festival,http://www.crawfishandcatfishfestival.com/,,Yolo County Fairgrounds,1250 East Gum Avenue,,CA,Woodland,Northstar,95776,US
gl-heroes-and-villains-8,Heroes & Villains Fan Fest on December 2-3,Heroes & Villains Fan Fest – Up to 31% Off Convention,Heroes & Villains Fan Fest,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-08T07:00:00Z,modesto,Modesto,37.6391,-120.997,Cultural Attractions,Convention,walker-stalker-con-2014-1,Heroes & Villains Fan Fest,https://www.showclix.com/event/HVFFSanJose2017,,San jose Convention Center,150 W San Carlos St.,,CA,San Jose,Downtown San Jose,95113,US
flybayarea-com-2,Intro Flight with Digital Photo for One Pilot and One Optional Passenger from Fly Bay Area (45% Off)  ,45% Off Intro Flight Tour from Fly Bay Area,Flight Experience,open,groupon,extended,2038-11-22T07:59:59Z,2014-07-19T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Flying,Airplane (Ride / Experience),fly-bay-area-com,Fly Bay Area,http://www.flybayarea.com/,180,San Carlos,620 Airport Drive,Suite 7,CA,San Carlos,,94070,US
