id,title,announcementTitle,shortAnnouncementTitle,status,type,accessType,endAt,startAt,division/id,division/name,division/lat,division/lng,tags/0/name,tags/1/name,merchant/id,merchant/name,merchant/websiteUrl,options/0/expiresInDays,options/0/redemptionLocations/0/name,options/0/redemptionLocations/0/streetAddress1,options/0/redemptionLocations/0/streetAddress2,options/0/redemptionLocations/0/state,options/0/redemptionLocations/0/city,options/0/redemptionLocations/0/neighborhood,options/0/redemptionLocations/0/postalCode,options/0/redemptionLocations/0/country
style-17,Admission for Two or Four to STYLE '17 on April 29 and April 30 from 10: 30 a.m.–5 p.m. (Up to 55% Off) ,Up to 55% Off Admission to STYLE '17 ,Admission to STYLE '17,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Cultural Attractions,Hall - Exhibition,style-17,STYLE '17,http://style.lucentestudio.com,,"The Computer History Museum, Grand Hall",1401 North Shoreline Boulevard,,CA,Mountain View,North Bayshore,94043,US
gojump-oceanside-1,One Tandem Skydiving Jump from GoJump Oceanside (Up to 51% Off). Two Options Available.,Up to 51% Off Tandem Skydiving,Tandem Skydiving,open,groupon,extended,2040-10-06T06:59:59Z,2016-06-02T07:00:00Z,inland-empire,Inland Empire,34.1083,-117.29,Flying,Parachuting / Skydiving - Tandem (Ride / Experience),go-jump-oceanside,GoJump Oceanside,http://www.gojump-oceanside.com/,180,Oceanside,480 Airport Road,,CA,Oceanside,Airport,92058,US
goldstar-san-jose-museum-of-art,"Tina Takemoto's ""Memoirs of Bjork-Geisha"" - Friday April 28, 2017 / 7:00pm (Doors open at 6:00pm)","Tina Takemoto's ""Memoirs of Bjork-Geisha"" - Friday April 28, 2017 /...",San Jose Museum of Art,open,groupon,featured,2017-04-29T01:00:00Z,2017-04-11T02:22:29Z,san-jose,San Jose,37.3394,-121.895,Arts,Film Festival,goldstar,San Jose Museum of Art ,http://sjmusart.org/,,Downtown San Jose,110 S Market St.,,CA,San Jose,Downtown San Jose,95113,US
gl-2017-reebok-spartan-race-toro-park-salinas,"Entry to the Monterey Super on June 3, 2017, from Reebok Spartan Races ",Up to 34% Off Reebok Spartan Race at Toro Park,2017 Reebok Spartan Race,open,groupon,extended,2017-06-02T06:59:59Z,2016-10-20T07:00:00Z,modesto,Modesto,37.6391,-120.997,Races & Runs,Race - Mud Run (Activity / Experience),reebok-spartan-races-so-cal,Reebok Spartan Race,http://www.spartan.com/en/race/detail/1897/overview,,Toro Park,501 California 68,,CA,Salinas,Downtown Salinas,93908,US
guns-fishing-other-stuff,Shooting-Range Package with Ammo for One or Two at Guns Fishing & Other Stuff (Up to 44% Off),Up to 44% Off Shooting-Range Package,Shooting-Range Package,open,groupon,extended,2040-10-13T06:59:59Z,2016-06-09T07:00:00Z,sacramento,Sacramento,38.5816,-121.494,Shooting Range,Shooting,guns-fishing-other-stuff,Guns Fishing & Other Stuff,http://www.gunsfishing.com/,120,Vacaville,197 Butcher Road,,CA,Vacaville,Hiddenbrooke,95687,US
oakland-flyers-5,$129 for Flight Lesson with Ground Training and 35-Minute Flight from Oakland Flyers ($249 Value),48% Off Flight Lesson from Oakland Flyers,Flight Lesson,closed,groupon,extended,2038-12-28T07:59:59Z,2014-08-24T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Flying,Airplane (Ride / Experience),oakland-flyers,Oakland Flyers,http://www.oaklandflyers.com/groupon,180,Oakland Flyers,8135 Earhart Rd,,CA,Oakland,Oakland,94621,US
castle-escape-room,Escape-Room Entry for Two or Four at Castle Escape Room (Up to 40% Off),Up to 40% Off at Castle Escape Room,Escape-Room Entry,open,groupon,extended,2040-07-26T06:59:59Z,2016-03-22T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Gaming,Room Escape Game,castle-escape-room,Castle Escape Room,http://castleescaperoom.com/,180,Castle Escape Room,1967 O'Toole Way,,CA,San Jose,North San Jose,95131,US
goldstar-bal-theatre-35,"""420 Comedy Jam"" - Thursday April 20, 2017 / 7:30pm","""420 Comedy Jam"" - Thursday April 20, 2017 / 7:30pm",Bal Theatre,open,groupon,featured,2017-04-21T02:30:00Z,2017-04-10T16:12:23Z,san-francisco,San Francisco,37.7752,-122.419,Comedy,Stand-up Show,goldstar,Bal Theatre,http://www.baltheatre.com/,,Halcyon-Foothill,14808 East 14th Street,,CA,San Leandro,Halcyon-Foothill,94578,US
skydive-holister-5,"Tandem Skydive from 8,000 Feet for One or Two from Skydive Hollister (Up to 44% Off)",Up to 44% Off from Skydive Hollister,Tandem Skydive for One or Two,open,groupon,extended,2038-05-29T06:59:59Z,2014-01-23T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Flying,Parachuting / Skydiving - Tandem (Ride / Experience),skydive-hollister,Skydive Holister,http://skydivehollister.com/,180,Skydive Holister,234 Skylane Drive,,CA,Hollister,Hollister,95023,US
city-sightseeing-san-francisco-2-5,Hop On/Hop Off Tour for Adults or Children from City Sightseeing (Up to 14% Off). Four Options Available.,Up to 14% Off Hop On/Hop Off Bus Tour,Double-Decker Bus Tour,open,groupon,extended,2041-06-09T06:59:59Z,2017-02-03T08:00:00Z,napa-sonoma,Napa / Sonoma,38.4405,-122.714,Tour - Bus,Tour,city-sightseeing,City Sightseeing San Francisco,http://www.city-sightseeing.us,120,Fishermans Wharf,1331 Columbus Ave,,CA,San Francisco,Fishermans Wharf,94133,US
fairyland-4,Two Weekday Admissions to Fairyland (Up to 40% Off),Up to 40% Off Two Weekday Admissions to Fairyland,Weekday Admission to Fairyland,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-11T07:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Playground / Children's Park,Parks,fairyland,Fairyland,http://www.fairyland.org/,,Central Oakland,699 Bellevue Ave,,CA,Oakland,Central Oakland,94610,US
gl-san-jose-improv-8,Standup Comedy Show and Tickets to a Future Comedy Show for Two or Four (Through September 2),San Jose Improv – Up to 80% Off Standup Comedy,Standup Comedy,open,groupon,featured,2017-04-12T06:59:59Z,2017-04-05T07:00:00Z,san-jose,San Jose,37.3394,-121.895,Comedy,Stand-up Show,san-jose-improv,San Jose Improv,http://sanjose.improv.com/,,San Jose Improv,62 South Second Street,,CA,San Jose,Downtown San Jose,95113,US
north-coast-air-san-francisco,$169 for Scenic Flight for Three from North Coast Air ($338 Value),50% Off Scenic Flight for Three,Scenic Flight for Three,open,groupon,extended,2038-06-27T06:59:59Z,2014-02-21T08:00:00Z,san-francisco,San Francisco,37.7752,-122.419,Flying,Airplane (Ride / Experience),north-coast-air,North Coast Air,http://www.northcoastair.com/,270,North Coast Air,"North Coast Air, Inc",5000 Flightline Drive,CA,Santa Rosa,,95403,US
gl-heroes-and-villains-8,Heroes & Villains Fan Fest on December 2-3,Heroes & Villains Fan Fest – Up to 31% Off Convention,Heroes & Villains Fan Fest,open,groupon,featured,2017-04-15T06:59:59Z,2017-04-08T07:00:00Z,modesto,Modesto,37.6391,-120.997,Cultural Attractions,Convention,walker-stalker-con-2014-1,Heroes & Villains Fan Fest,https://www.showclix.com/event/HVFFSanJose2017,,San jose Convention Center,150 W San Carlos St.,,CA,San Jose,Downtown San Jose,95113,US
whitewater-excitement-4,Two Options Available for Gift Cards towards Whitewater Rafting at Whitewater Excitement (Up to 42% Off),Up to 42% Off Gift Cards towards Rafting,Whitewater Rafting,open,groupon,extended,2017-05-11T06:59:59Z,2016-11-13T08:00:00Z,sacramento,Sacramento,38.5816,-121.494,Watersports,White Water Rafting (Ride / Activity),whitewater-excitement-1,Whitewater Excitement,http://whitewaterexcitement.com/,,Tamaroo Ridge,6580 Highway 49,,CA,Lotus,Tamaroo Ridge,95651,US
pediatric-motor-playground-2-4,$40 for 3 50-Min. Children's Motor-Skills Classes at Pediatric Motor Playground ($120 Value). 3 Locations,67% Off Children's Motor-Skills Classes,Children's Motor-Skills Classes,open,groupon,extended,2041-08-10T06:59:59Z,2017-04-06T07:00:00Z,los-angeles,Los Angeles,34.0522,-118.243,Indoor Play Area,Jumping,pediatric-motor-playground,Pediatric Motor Playground,http://www.pediatricmotorplayground.com/,120,Lafayette Meadow,3322 Mount Diablo Boulevard,Ste. C,CA,Lafayette,Lafayette Meadow,94549,US
smart-destinations-4,Go San Diego Card All-Inclusive 2-Day Pass includes admission to 40+ attractions for 2 days. Pay Nothing at The Gate.,All-Inclusive Pass to San Diego Attractions ,Go San Diego Card,open,groupon,extended,2039-03-23T06:59:59Z,2014-11-17T08:00:00Z,inland-empire,Inland Empire,34.1083,-117.29,Tour - Bus,Tour,smart-destinations,Go City Card,http://smartdestinations.com,30,,,,,,,,
smart-destinations-5-san-francisco, Go San Francisco Card All-Inclusive 2-Day Pass includes admission to 25+ attractions for 2 days. Pay Nothing at Gate. ,All-Inclusive Pass to San Francisco Attractions ,Go San Francisco Card,open,groupon,extended,2039-03-23T06:59:59Z,2014-11-17T08:00:00Z,inland-empire,Inland Empire,34.1083,-117.29,Tour - Bus,Tour,smart-destinations,Go City Card,http://smartdestinations.com,30,,,,,,,,
rockin-jump-fremont-san-jose,"One-Hour Jump Pass for Two, Four, or Six People at Rockin Jump (Up to 50% Off) ",Up to 50% Off Jump Time at Rockin Jump ,Jump Sessions at Trampoline Park,open,groupon,extended,2039-03-28T06:59:59Z,2014-11-22T08:00:00Z,san-jose,San Jose,37.3394,-121.895,Trampoline Park,Jumping,rockin-jump-fremont,Rockin Jump - Fremont,http://fremont.rockinjump.com/,90,Fremont,39177 Farwell Drive,,CA,Fremont,28 Palms,94538,US
gl-california-s-great-america,$34.50 for Admission for One to California's Great America ($69 Value) ,50% Off at California's Great America,Theme-Park Admission,open,groupon,extended,2017-04-30T06:59:59Z,2017-03-17T07:00:00Z,fresno,Fresno,36.7477,-119.772,Amusement Park,Parks,california-s-great-america,California's Great America,https://www.cagreatamerica.com/,,California's Great America,4701 Great America Pkwy,,CA,Santa Clara,Lakewood,95054,US
action-whitewater-adventures-19,Half- or Full-Day Rafting Trip with Hot Barbecue Lunch from Action Whitewater Adventures (Up to 50% Off) ,Up to 50% Off Half- or Full-Day Rafting Trip,Rafting Trip Down American River,open,groupon,extended,2017-09-18T06:59:59Z,2016-11-11T08:00:00Z,fresno,Fresno,36.7477,-119.772,Watersports,White Water Rafting (Ride / Activity),action-whitewater-adventures,Action Whitewater Adventures,http://www.actionwhitewater.com/,,Lotus,7149 Hwy 49,,CA,Lotus,Tamaroo Ridge,95651,US
